,shortName,sector,industry,country,market,2021-06-28 00:00:00,2021-06-29 00:00:00,2021-06-30 00:00:00,2021-07-01 00:00:00,2021-07-02 00:00:00,2021-07-06 00:00:00,2021-07-07 00:00:00,2021-07-08 00:00:00,2021-07-09 00:00:00,2021-07-12 00:00:00,2021-07-13 00:00:00,2021-07-14 00:00:00,2021-07-15 00:00:00,2021-07-16 00:00:00,2021-07-19 00:00:00,2021-07-20 00:00:00,2021-07-21 00:00:00,2021-07-22 00:00:00,2021-07-23 00:00:00,2021-07-26 00:00:00,2021-07-27 00:00:00,2021-07-28 00:00:00,2021-07-05 00:00:00
0,UP Fintech Holding Limited,Financial Services,Capital Markets,China,us_market,28.31999969482422,29.280000686645508,28.979999542236328,26.170000076293945,25.56999969482422,21.889999389648438,20.790000915527344,20.219999313354492,20.510000228881836,19.889999389648438,19.719999313354492,18.170000076293945,18.56999969482422,17.920000076293945,17.770000457763672,18.0,19.670000076293945,18.06999969482422,16.8799991607666,16.68000030517578,14.529999732971191,16.84000015258789,
1,Li Auto Inc.,Consumer Cyclical,Auto Manufacturers,China,us_market,33.709999084472656,34.25,34.939998626708984,34.689998626708984,32.66999816894531,33.58000183105469,32.029998779296875,31.790000915527344,31.81999969482422,32.810001373291016,32.52000045776367,30.329999923706055,30.979999542236328,30.31999969482422,30.540000915527344,30.729999542236328,33.40999984741211,32.93000030517578,30.280000686645508,30.770000457763672,26.479999542236328,29.959999084472656,
2,"Shineco, Inc.",Healthcare,Drug Manufacturers—Specialty & Generic,China,us_market,6.869999885559082,6.769999980926514,6.320000171661377,6.480000019073486,6.510000228881836,6.420000076293945,5.909999847412109,6.130000114440918,6.059999942779541,6.510000228881836,5.900000095367432,5.320000171661377,4.849999904632568,4.449999809265137,4.369999885559082,4.610000133514404,4.760000228881836,4.619999885559082,4.460000038146973,4.429999828338623,4.309999942779541,4.456299781799316,
3,McDonald's Corporation,Consumer Cyclical,Restaurants,United States,us_market,231.08999633789062,230.3699951171875,230.99000549316406,232.27000427246094,233.6300048828125,232.75,234.6300048828125,232.83999633789062,235.67999267578125,235.61000061035156,236.1699981689453,237.1300048828125,236.8800048828125,234.75,229.25999450683594,234.27000427246094,235.92999267578125,238.6699981689453,242.9600067138672,243.97999572753906,246.35000610351562,240.65499877929688,
4,Shopify Inc.,Technology,Software—Application,Canada,us_market,1494.989990234375,1482.989990234375,1460.97998046875,1458.0,1464.75,1538.030029296875,1520.219970703125,1463.3399658203125,1494.989990234375,1494.739990234375,1516.469970703125,1463.0,1441.5,1442.6300048828125,1472.010009765625,1524.780029296875,1569.3599853515625,1594.0899658203125,1643.3199462890625,1582.280029296875,1555.0999755859375,1539.60693359375,
5,Apple Inc.,Technology,Consumer Electronics,United States,us_market,134.77999877929688,136.3300018310547,136.9600067138672,137.27000427246094,139.9600067138672,142.02000427246094,144.57000732421875,143.24000549316406,145.11000061035156,144.5,145.63999938964844,149.14999389648438,148.47999572753906,146.38999938964844,142.4499969482422,146.14999389648438,145.39999389648438,146.8000030517578,148.55999755859375,148.99000549316406,146.77000427246094,144.7895050048828,
6,KANZHUN LIMITED - American Depo,Industrials,Staffing & Employment Services,China,us_market,38.0,38.650001525878906,39.650001525878906,37.099998474121094,36.310001373291016,30.520000457763672,32.0099983215332,31.200000762939453,36.16999816894531,34.15999984741211,34.75,34.939998626708984,35.27000045776367,35.529998779296875,34.880001068115234,35.02000045776367,35.279998779296875,35.0,32.529998779296875,31.0,29.459999084472656,33.290000915527344,
7,"Grove, Inc.",Healthcare,Drug Manufacturers—Specialty & Generic,United States,us_market,7.690000057220459,6.849999904632568,6.190000057220459,5.829999923706055,6.079999923706055,5.880000114440918,5.349999904632568,5.179999828338623,5.21999979019165,5.400000095367432,5.460000038146973,4.75,4.550000190734863,4.460000038146973,4.059999942779541,4.179999828338623,4.079999923706055,4.110000133514404,4.349999904632568,4.380000114440918,4.650000095367432,5.75,
8,Full Truck Alliance Co. Ltd.,Technology,Software—Application,China,us_market,17.809999465942383,16.149999618530273,20.3799991607666,18.600000381469727,19.020000457763672,17.75,17.0,15.130000114440918,15.9399995803833,15.779999732971191,17.56999969482422,17.520000457763672,17.15999984741211,17.200000762939453,16.299999237060547,16.350000381469727,16.559999465942383,15.149999618530273,10.850000381469727,9.979999542236328,8.699999809265137,10.045000076293945,
9,Alphabet Inc.,Communication Services,Internet Content & Information,United States,us_market,2450.719970703125,2445.449951171875,2441.7900390625,2448.889892578125,2505.14990234375,2523.800048828125,2529.47998046875,2500.8798828125,2510.3701171875,2539.510009765625,2546.830078125,2564.739990234375,2540.10009765625,2539.39990234375,2491.56005859375,2524.18994140625,2550.97998046875,2568.429931640625,2660.300048828125,2680.699951171875,2638.0,2738.340087890625,
10,Sundial Growers Inc.,Healthcare,Drug Manufacturers—Specialty & Generic,Canada,us_market,0.9789999723434448,0.949999988079071,0.9490000009536743,0.9200000166893005,0.8999999761581421,0.8899999856948853,0.9580000042915344,0.8930000066757202,0.890999972820282,0.8650000095367432,0.875,0.8399999737739563,0.8169999718666077,0.8119999766349792,0.8090000152587891,0.8410000205039978,0.8700000047683716,0.824999988079071,0.796999990940094,0.8180000185966492,0.7860000133514404,0.875,
